cluster	color
eL2/3	#fed976
eL4	#feb24c
eL5	#fc4e2a
eL6	#bd0026
PVALB	#7fcdbb
SST	#225ea8
VIP	#8c6bb1
Astro	#8e0152
Endo	#33a02c
Oligo	#878787
Other	#fb9a99
