cell	seurat_clusters	celltype
c334	11	Oligo
c335	2	eL6
c336	11	Oligo
c337	2	eL6
c338	4	eL5
c339	5	Astro
c340	1	Endo
c341	8sub1	PVALB
c342	12	Micro
c343	8sub2	SST
c344	3	Oligo
c345	11	Oligo
c346	2	eL6
c347	1	Endo
c348	1	Endo
c349	6	eL4
c350	9	eL2/3
c351	3	Oligo
c352	1	Endo
c353	7	eL4
c354	1	Endo
c355	2	eL6
c356	6	eL4
c357	7	eL4
c358	7	eL4
c359	1	Endo
c360	2	eL6
c361	1	Endo
c362	5	Astro
c363	3	Oligo
c364	5	Astro
c365	9	eL2/3
c366	4	eL5
c367	8sub3	VIP
c368	7	eL4
c369	9	eL2/3
c370	11	Oligo
c371	5	Astro
c372	8sub6	PVALB
c373	7	eL4
c374	1	Endo
c375	1	Endo
c376	6	eL4
c377	4	eL5
c378	11	Oligo
c379	8sub6	PVALB
c380	8sub3	VIP
c381	4	eL5
c382	7	eL4
c383	5	Astro
c384	2	eL6
c385	5	Astro
c386	7	eL4
c387	9	eL2/3
c388	4	eL5
c389	7	eL4
c390	10	eL2/3
c391	10	eL2/3
c392	6	eL4
c393	1	Endo
c394	1	Endo
c395	9	eL2/3
c396	4	eL5
c397	4	eL5
c398	12	Micro
c399	7	eL4
c400	11	Oligo
c401	1	Endo
c402	3	Oligo
c403	4	eL5
c404	3	Oligo
c405	2	eL6
c406	3	Oligo
c407	12	Micro
c408	6	eL4
c409	2	eL6
c410	2	eL6
c411	4	eL5
c412	7	eL4
c413	9	eL2/3
c414	3	Oligo
c415	1	Endo
c416	8sub1	PVALB
c417	2	eL6
c418	6	eL4
c419	12	Micro
c420	2	eL6
c421	8sub3	VIP
c422	4	eL5
c423	12	Micro
c424	8sub6	PVALB
c425	4	eL5
c426	11	Oligo
c427	7	eL4
c428	9	eL2/3
c429	9	eL2/3
c430	5	Astro
c431	11	Oligo
c432	9	eL2/3
c433	2	eL6
c434	12	Micro
c435	1	Endo
c436	5	Astro
c437	8sub1	PVALB
c438	1	Endo
c439	3	Oligo
c440	5	Astro
c441	2	eL6
