cell	seurat_clusters	celltype
c1400	2	eL6
c1401	2	eL6
c1402	8sub4	RELN
c1403	1	Endo
c1404	1	Endo
c1405	11	Oligo
c1406	1	Endo
c1407	3	Oligo
c1408	5	Astro
c1409	8sub5	NPY
c1410	1	Endo
c1411	4	eL5
c1412	2	eL6
c1413	7	eL4
c1414	5	Astro
c1415	10	eL2/3
c1416	5	Astro
c1417	8sub5	NPY
c1418	5	Astro
c1419	6	eL4
c1420	10	eL2/3
c1421	3	Oligo
c1422	6	eL4
c1423	2	eL6
c1424	11	Oligo
c1425	1	Endo
c1426	5	Astro
c1427	12	Micro
c1428	1	Endo
c1429	3	Oligo
c1430	6	eL4
c1431	7	eL4
c1432	3	Oligo
c1433	6	eL4
c1434	1	Endo
c1435	8sub4	RELN
c1436	6	eL4
c1437	10	eL2/3
c1438	1	Endo
c1439	12	Micro
c1440	1	Endo
c1441	12	Micro
c1442	1	Endo
c1443	3	Oligo
c1444	3	Oligo
c1445	1	Endo
c1446	4	eL5
c1447	3	Oligo
c1448	8sub1	PVALB
c1449	1	Endo
c1450	4	eL5
c1451	8sub2	SST
c1452	4	eL5
c1453	5	Astro
c1454	7	eL4
c1455	10	eL2/3
c1456	8sub2	SST
c1457	5	Astro
c1458	5	Astro
c1459	3	Oligo
c1460	3	Oligo
c1461	8sub1	PVALB
c1462	5	Astro
c1463	4	eL5
c1464	2	eL6
c1465	6	eL4
c1466	3	Oligo
c1467	10	eL2/3
c1468	1	Endo
c1469	2	eL6
c1470	8sub1	PVALB
c1471	4	eL5
c1472	8sub3	VIP
c1473	13	Smc
c1474	8sub5	NPY
c1475	4	eL5
c1476	1	Endo
c1477	6	eL4
c1478	7	eL4
c1479	3	Oligo
c1480	4	eL5
c1481	10	eL2/3
c1482	3	Oligo
c1483	6	eL4
c1484	10	eL2/3
c1485	5	Astro
c1486	4	eL5
c1487	4	eL5
c1488	1	Endo
c1489	9	eL2/3
c1490	5	Astro
c1491	5	Astro
c1492	13	Smc
c1493	11	Oligo
c1494	5	Astro
c1495	3	Oligo
c1496	7	eL4
c1497	2	eL6
c1498	2	eL6
c1499	5	Astro
c1500	11	Oligo
c1501	1	Endo
c1502	12	Micro
c1503	6	eL4
c1504	2	eL6
c1505	4	eL5
c1506	7	eL4
c1507	5	Astro
c1508	2	eL6
c1509	9	eL2/3
c1510	13	Smc
c1511	8sub2	SST
c1512	6	eL4
c1513	3	Oligo
c1514	5	Astro
c1515	3	Oligo
c1516	4	eL5
c1517	5	Astro
c1518	10	eL2/3
c1519	3	Oligo
c1520	1	Endo
c1521	5	Astro
c1522	4	eL5
c1523	4	eL5
c1524	8sub4	RELN
c1525	2	eL6
c1526	1	Endo
c1527	3	Oligo
c1528	2	eL6
c1529	5	Astro
c1530	3	Oligo
c1531	6	eL4
c1532	6	eL4
c1533	2	eL6
c1534	9	eL2/3
c1535	1	Endo
c1536	2	eL6
c1537	9	eL2/3
c1538	6	eL4
c1539	3	Oligo
c1540	4	eL5
c1541	8sub1	PVALB
c1542	9	eL2/3
c1543	3	Oligo
c1544	3	Oligo
c1545	3	Oligo
c1546	2	eL6
c1547	9	eL2/3
c1548	10	eL2/3
